Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,702,702,1,1.611751947303671,0.3359500005899463,14.987259997724323,0.0,11.877145422321062,11.877145422321062,1,2,2,2,3,3,4,4,15,15,15
GET,/message/create,702,702,2,2.4020687379740213,0.42227299854857847,9.581104000972118,0.0,11.877145422321062,11.877145422321062,2,3,3,3,4,5,6,6,10,10,10
POST,/message/create,1391,1391,2,2.4778217836528365,0.3690270023071207,12.957057999301469,0.0,23.534343707191734,23.534343707191734,2,3,3,3,4,5,5,6,8,13,13
GET,/post/all,702,702,1,1.2598734928311268,0.291845000901958,5.503937998582842,0.0,11.877145422321062,11.877145422321062,1,1,2,2,2,2,3,3,6,6,6
POST,/user/login,227,227,2,2.447728088198282,0.46664500041515566,7.598839998536278,0.0,3.840615400095272,3.840615400095272,2,3,3,3,4,4,5,6,8,8,8
POST,/user/register,237,237,2,2.9721745823094676,0.508766999701038,29.02468700267491,0.0,4.009805505826341,4.009805505826341,2,3,3,4,5,7,9,11,29,29,29
,Aggregated,3961,3961,2,2.122904081323363,0.291845000901958,29.02468700267491,0.0,67.01620088007652,67.01620088007652,2,2,3,3,4,4,5,6,15,29,29
