Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /home,159633,0,5,5.9603162634017615,1.6949769997154362,164.62822200264782,1989.0,177.33682910415888,0.0,5,6,6,7,9,12,20,29,74,100,160
GET,GET /message/create,159490,0,5,6.021775485921922,1.7295860016020015,165.39014099544147,2401.0,177.17796992991612,0.0,5,6,6,7,9,12,20,29,70,97,170
POST,POST BULK MESSAGE,159667,36,12,13.42260685437615,2.4107029967126437,161.28090199345024,236.08399356160007,177.3745998169159,0.03999251938978607,12,14,16,17,21,24,31,45,92,120,160
POST,POST FORM,159209,36,5,6.736887727395386,1.9775510008912534,150.91521899739746,236.08489469816405,176.8658060980125,0.03999251938978607,5,6,7,8,10,13,22,31,74,100,150
POST,POST JSON MESSAGE,159263,34,5,6.720995681058817,2.050805000180844,128.24772800377104,236.08016300082255,176.9257948770972,0.03777071275702018,5,6,7,8,10,13,21,31,77,100,130
,Aggregated,797262,106,6,7.774110142320019,1.6949769997154362,165.39014099544147,1020.1489911722872,885.6809998261006,0.11775575153659232,6,7,9,10,14,19,25,33,82,110,170
