Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1741270424,290,,Aggregated,111.000000,0.000000,9,12,15,16,23,33,96,620,1100,1100,1100,2005,0,9,23.140813270409563,1.9717780232895166,1109.5017449988518,1213.1800498753116
1741270425,300,,Aggregated,114.400000,0.000000,9,12,14,16,22,31,78,210,1100,1100,1100,2331,0,9,21.206870139419177,1.9717780232895166,1109.5017449988518,1218.7593307593309
1741270426,310,,Aggregated,114.400000,0.000000,9,12,14,16,22,31,78,210,1100,1100,1100,2331,0,9,21.206870139419177,1.9717780232895166,1109.5017449988518,1218.7593307593309
1741270427,320,,Aggregated,124.000000,0.000000,9,11,14,16,21,31,75,180,1100,1100,1100,2445,0,9,20.709589155805574,1.9717780232895166,1109.5017449988518,1216.046625766871
1741270428,330,,Aggregated,127.600000,0.000000,9,11,13,15,21,30,78,560,1100,1100,1100,2808,0,9,21.63049652567407,1.9717780232895166,1109.5017449988518,1198.7325498575499
1741270429,340,,Aggregated,127.600000,0.000000,9,11,13,15,21,30,78,560,1100,1100,1100,2808,0,9,21.63049652567407,1.9717780232895166,1109.5017449988518,1198.7325498575499
1741270430,350,,Aggregated,137.200000,0.000000,9,11,13,15,20,30,75,210,1100,1100,1100,2932,0,9,21.110013472403896,1.9717780232895166,1109.5017449988518,1195.37482946794
1741270431,360,,Aggregated,143.500000,0.000000,9,11,13,15,19,28,70,160,1100,1100,1100,3315,0,9,19.801952145754207,1.9717780232895166,1109.5017449988518,1203.8404223227753
1741270432,370,,Aggregated,143.500000,0.000000,9,11,13,15,19,28,70,160,1100,1100,1100,3315,0,9,19.801952145754207,1.9717780232895166,1109.5017449988518,1203.8404223227753
1741270433,380,,Aggregated,155.100000,0.000000,9,11,13,14,19,27,69,140,1100,1100,1100,3445,0,9,19.373833974247194,1.9717780232895166,1109.5017449988518,1203.077503628447
1741270434,390,,Aggregated,158.000000,0.000000,9,10,12,14,19,26,64,130,1100,1100,1100,3900,0,9,18.746952430773465,1.9717780232895166,1109.5017449988518,1206.548717948718
1741270435,400,,Aggregated,158.000000,0.000000,9,10,12,14,19,26,64,130,1100,1100,1100,3900,0,9,18.746952430773465,1.9717780232895166,1109.5017449988518,1206.548717948718
1741270436,410,,Aggregated,169.500000,0.000000,9,10,12,14,19,26,64,130,1100,1100,1100,4058,0,9,18.370435008146142,1.9717780232895166,1109.5017449988518,1201.1370133070477
1741270438,420,,Aggregated,174.800000,0.000000,9,10,12,14,18,25,58,110,1100,1100,1100,4525,0,9,17.430207694627253,1.9717780232895166,1109.5017449988518,1203.8709392265193
1741270439,430,,Aggregated,174.800000,0.000000,9,10,12,14,18,25,58,110,1100,1100,1100,4525,0,9,17.430207694627253,1.9717780232895166,1109.5017449988518,1203.8709392265193
1741270440,440,,Aggregated,186.600000,0.000000,9,10,12,14,18,24,56,110,1100,1100,1100,4682,0,9,17.139377654262816,1.9717780232895166,1109.5017449988518,1211.567492524562
1741270441,450,,Aggregated,192.700000,0.000000,9,10,12,14,18,24,52,96,1100,1100,1100,5175,0,9,16.50176758859374,1.9093369774054736,1109.5017449988518,1213.463381642512
1741270442,460,,Aggregated,192.700000,0.000000,9,10,12,14,18,24,52,96,1100,1100,1100,5175,0,9,16.50176758859374,1.9093369774054736,1109.5017449988518,1213.463381642512
1741270443,470,,Aggregated,202.300000,0.000000,9,10,12,14,18,24,48,92,1100,1100,1100,5345,0,9,16.288085390020413,1.7994999943766743,1109.5017449988518,1215.9453695042096
1741270444,480,,Aggregated,207.200000,0.000000,9,10,12,13,18,23,44,85,1100,1100,1100,5848,0,9,15.686706281960662,1.7251030076295137,1109.5017449988518,1223.2525649794802
1741270445,490,,Aggregated,207.200000,0.000000,9,10,12,13,18,23,44,85,1100,1100,1100,5848,0,9,15.686706281960662,1.7251030076295137,1109.5017449988518,1223.2525649794802
1741270446,500,,Aggregated,213.200000,0.000000,9,10,12,13,17,22,44,82,1000,1100,1100,6008,0,9,15.533893860153963,1.7251030076295137,1109.5017449988518,1225.2977696404794
1741270447,510,,Aggregated,217.600000,0.000000,9,10,12,13,17,22,43,79,1000,1100,1100,6497,0,9,15.088233889101154,1.7251030076295137,1109.5017449988518,1228.0295521009696
1741270448,520,,Aggregated,217.600000,0.000000,9,10,12,13,17,22,43,79,1000,1100,1100,6497,0,9,15.088233889101154,1.7251030076295137,1109.5017449988518,1228.0295521009696
1741270449,530,,Aggregated,219.700000,0.000000,9,10,12,13,17,22,42,78,1000,1100,1100,6659,0,9,14.956850846904713,1.7251030076295137,1109.5017449988518,1226.2682084397056
1741270450,540,,Aggregated,218.700000,0.000000,9,10,12,13,17,21,40,75,1000,1100,1100,7156,0,9,14.552628107798363,1.7251030076295137,1109.5017449988518,1223.1321967579654
1741270451,550,,Aggregated,218.700000,0.000000,9,10,12,13,17,21,40,75,1000,1100,1100,7156,0,9,14.552628107798363,1.7251030076295137,1109.5017449988518,1223.1321967579654
1741270452,560,,Aggregated,220.700000,0.000000,9,10,12,13,17,21,40,75,1000,1100,1100,7316,0,9,14.441178177930265,1.7251030076295137,1109.5017449988518,1222.0538545653362
1741270453,570,,Aggregated,220.000000,0.000000,9,10,11,13,17,21,38,74,1000,1100,1100,7820,0,9,14.089642239206345,1.7251030076295137,1109.5017449988518,1221.5221227621482
1741270454,580,,Aggregated,220.000000,0.000000,9,10,11,13,17,21,38,74,1000,1100,1100,7820,0,9,14.089642239206345,1.7251030076295137,1109.5017449988518,1221.5221227621482
1741270455,590,,Aggregated,219.200000,0.000000,9,10,11,13,17,21,37,74,1000,1100,1100,7980,0,9,13.99996544816969,1.7251030076295137,1109.5017449988518,1220.374060150376
1741270456,600,,Aggregated,220.300000,0.000000,9,10,11,13,17,21,36,73,1000,1100,1100,8461,0,9,13.789379745499884,1.7251030076295137,1109.5017449988518,1217.7109088760194
1741270457,610,,Aggregated,220.300000,0.000000,9,10,11,13,17,21,36,73,1000,1100,1100,8461,0,9,13.789379745499884,1.7251030076295137,1109.5017449988518,1217.7109088760194
1741270458,620,,Aggregated,222.000000,0.000000,9,10,11,13,17,21,36,73,1000,1100,1100,8642,0,9,13.725272896619051,1.7251030076295137,1109.5017449988518,1217.1996065725527
1741270459,630,,Aggregated,219.800000,0.000000,8,10,11,13,17,20,35,72,1000,1100,1100,9135,0,8,13.482099363810246,1.7251030076295137,1109.5017449988518,1215.512096332786
1741270460,640,,Aggregated,219.800000,0.000000,8,10,11,13,17,20,35,72,1000,1100,1100,9135,0,8,13.482099363810246,1.7251030076295137,1109.5017449988518,1215.512096332786
1741270461,650,,Aggregated,221.100000,0.000000,8,10,11,13,16,20,34,71,1000,1100,1100,9302,0,8,13.405106912445866,1.7251030076295137,1109.5017449988518,1213.956245968609
1741270462,663,,Aggregated,219.200000,0.000000,8,10,11,12,16,20,33,71,1000,1100,1100,9799,0,8,13.195007182103977,1.7251030076295137,1109.5017449988518,1214.1306255740383
1741270463,670,,Aggregated,219.200000,0.000000,8,10,11,12,16,20,33,71,1000,1100,1100,9799,0,8,13.195007182103977,1.7251030076295137,1109.5017449988518,1214.1306255740383
1741270464,687,,Aggregated,219.700000,0.000000,8,10,11,12,16,20,33,71,1000,1100,1100,9951,0,8,13.129937292854786,1.7251030076295137,1109.5017449988518,1213.840619033263
1741270465,695,,Aggregated,220.300000,0.000000,8,10,11,12,16,20,33,70,1000,1100,1100,10447,0,8,12.933940672432954,1.7251030076295137,1109.5017449988518,1212.7025940461376
1741270466,708,,Aggregated,220.300000,0.000000,8,10,11,12,16,20,33,70,1000,1100,1100,10447,0,8,12.933940672432954,1.7251030076295137,1109.5017449988518,1212.7025940461376
1741270467,718,,Aggregated,220.200000,0.000000,8,10,11,12,16,20,33,70,1000,1100,1100,10619,0,8,12.871113730971992,1.7251030076295137,1109.5017449988518,1210.932856201149
1741270468,726,,Aggregated,217.800000,0.000000,8,10,11,12,16,20,31,69,1000,1100,1100,11118,0,8,12.69068230630048,1.7251030076295137,1109.5017449988518,1210.8631048749776
1741270469,737,,Aggregated,217.800000,0.000000,8,10,11,12,16,20,31,69,1000,1100,1100,11118,0,8,12.69068230630048,1.7251030076295137,1109.5017449988518,1210.8631048749776
1741270470,745,,Aggregated,219.600000,0.000000,8,10,11,12,16,20,31,69,1000,1100,1100,11285,0,8,12.644073919833716,1.7251030076295137,1109.5017449988518,1211.5938856889677
1741270471,753,,Aggregated,220.200000,0.000000,8,10,11,12,16,19,31,69,1000,1100,1100,11772,0,8,12.520537738558703,1.7251030076295137,1109.5017449988518,1213.091997961264
1741270472,765,,Aggregated,220.200000,0.000000,8,10,11,12,16,19,31,69,1000,1100,1100,11772,0,8,12.520537738558703,1.7251030076295137,1109.5017449988518,1213.091997961264
1741270473,780,,Aggregated,219.700000,0.000000,8,10,11,12,16,19,31,69,1000,1100,1100,11942,0,8,12.488003392172777,1.7251030076295137,1109.5017449988518,1214.9557025623849
1741270474,790,,Aggregated,220.800000,0.000000,8,10,11,12,16,19,30,68,1000,1100,1100,12435,0,8,12.366925734333067,1.7251030076295137,1109.5017449988518,1217.6080418174508
1741270475,797,,Aggregated,220.800000,0.000000,8,10,11,12,16,19,30,68,1000,1100,1100,12435,0,8,12.366925734333067,1.7251030076295137,1109.5017449988518,1217.6080418174508
1741270476,807,,Aggregated,222.100000,0.000000,8,10,11,12,16,19,30,68,1000,1100,1100,12595,0,8,12.330826517628376,1.7251030076295137,1109.5017449988518,1215.5825327510918
1741270477,820,,Aggregated,220.000000,0.000000,8,10,11,12,16,19,29,68,1000,1100,1100,13100,0,8,12.216918514070603,1.7251030076295137,1109.5017449988518,1218.0931297709924
1741270478,830,,Aggregated,220.000000,0.000000,8,10,11,12,16,19,29,68,1000,1100,1100,13100,0,8,12.216918514070603,1.7251030076295137,1109.5017449988518,1218.0931297709924
1741270479,835,,Aggregated,221.700000,0.000000,8,10,11,12,16,19,28,68,1000,1100,1100,13274,0,8,12.166391921610936,1.7251030076295137,1109.5017449988518,1217.660765406057
1741270480,850,,Aggregated,220.400000,0.000000,8,10,11,12,16,19,28,67,1000,1100,1100,13780,0,8,12.024365821675024,1.7251030076295137,1109.5017449988518,1216.551161103048
1741270481,860,,Aggregated,220.400000,0.000000,8,10,11,12,16,19,28,67,1000,1100,1100,13780,0,8,12.024365821675024,1.7251030076295137,1109.5017449988518,1216.551161103048
1741270482,867,,Aggregated,223.800000,0.000000,8,10,11,12,16,19,28,66,1000,1100,1100,13936,0,8,11.983903088016147,1.7251030076295137,1109.5017449988518,1215.8864810562573
