Method,Name,Error,Occurrences
POST,/message/create,HTTPError('500 Server Error: Internal Server Error for url: /message/create'),3
GET,GET /,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='10.177.103.205', port=80): Read timed out. (read timeout=50)""))",114
GET,GET MESSAGE,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.177.103.205 timed out. (connect timeout=60)')",253
POST,/message/create,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='10.177.103.205', port=80): Read timed out. (read timeout=60)""))",299
GET,GET /,HTTPError('500 Server Error: Internal Server Error for url: GET /'),1
GET,GET MESSAGE,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='10.177.103.205', port=80): Read timed out. (read timeout=60)""))",99
POST,/message/create,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.177.103.205 timed out. (connect timeout=60)')",768
GET,GET /,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 10.177.103.205 timed out. (connect timeout=50)')",246
