Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /home,72786,0,6,55.70337532705109,1.397053012624383,1095.6836670084158,1989.0,242.47266180456234,0.0,6,9,16,32,280,360,430,520,1000,1100,1100
GET,GET /message/create,72826,0,6,56.04391192960057,1.3619399978779256,1094.5150600018678,2401.0,242.60591416727195,0.0,6,9,17,33,280,360,430,510,1000,1100,1100
POST,POST BULK MESSAGE,72665,10,12,61.73896452201321,1.756158992066048,15335.794576007174,236.01940411477327,242.0695734073657,0.033313090677405316,12,16,23,39,290,360,440,530,1000,1100,15000
POST,POST FORM,72731,12,6,57.14142805785836,1.3627029984490946,15629.010838005343,236.02326380772985,242.2894398058366,0.039975708812886375,6,9,17,33,280,360,430,520,1000,6700,16000
POST,POST JSON MESSAGE,72685,13,6,56.689170512878604,1.415295002516359,6746.039111996652,236.02521840819978,242.13619958872053,0.04330701788062691,6,9,17,34,280,360,430,530,990,1100,6700
,Aggregated,363693,35,7,57.462055157884805,1.3619399978779256,15629.010838005343,1020.3623138196226,1211.573788773757,0.1165958173709186,7,12,19,34,280,360,430,520,1000,1100,16000
